Longitude	Latitude	Name
-84.508644	39.078146	Cathedral Basilica of the Assumption
-84.363928	39.209229	Center for Holocaust & Humanity Education at Rockwern Academy
-84.377693	39.199959	Cheesecake Factory
-84.496964	39.114624	Cincinnati Art Museum
-84.521072	39.112816	Cincinnati Ballet Center
-84.519371	39.105507	Cincinnati Fire Museum
-84.532181	39.109718	Cincinnati Museum Center
-84.518715	39.109491	Cincinnati Opera
-84.497852	39.111467	Cincinnati Playhouse in the Park
-84.518573	39.109484	Cincinnati Pops Orchestra
-84.507942	39.097836	Cincinnati Reds Hall of Fame
-84.510818	39.095345	Cincinnati Riverfront Park
-84.518713	39.109442	Cincinnati Symphony
-84.382028	39.146007	Cincinnati Symphony Orchestra
-84.509926	39.142235	Cincinnati Zoo & Botanical Garden
-84.662086	39.057499	Cincinnati-Northern Ky Intl Airport
-84.443313	39.278745	Coco Key Water Resort
-84.423897	39.070236	Coney Island
-84.512016	39.102852	Contemporary Arts Center
-84.784402	39.084255	Creation Museum
-84.70607	38.868165	Cross Ridge Farm
-84.509743	39.089642	Daniel Libeskind's residential Ascent
-84.725704	39.059833	Day Dream Stables; Danielle Yungkau
-84.537182	39.073641	Devou Park Golf Course
-84.812355	39.000343	Dinsmore homestead
-84.45957	39.16073	Drake Planetarium and Science Center
-84.527261	39.082155	Drees Pavilion
-84.494395	39.114456	Eden Park
-84.514845	39.107998	Ensemble Theatre of Cincinnati
-84.375061	39.351521	Entertrainment Junction
-84.519012	39.1152	Findlay Market
-84.807495	39.090301	First Farm Inn; Jennifer Warner & Dana Kisor
-84.647781	38.997646	Florence Y'all Water Tower
-84.445156	39.066143	Fort Thomas Military and Community Museum
-84.512748	39.101317	Fountain Square
-84.52645	39.088161	Futuro House (flying saucer house)
-84.49488	39.092002	Gangsters Gamblers & Girls -- Newport Historic Walking Tour
-84.518547	39.068552	Garden of Hope
-84.513008	39.099907	Gold Star Chili
-84.208565	39.43362	Golden Lamb Inn
-84.848213	38.954144	Grand Victoria Casino
-84.50824	39.098034	Great American Ball Park
-84.506804	39.099572	Great American Tower at Queen City Square
-84.262339	39.352128	Great Wolf Lodge Water Park Resort
-84.487438	39.133122	Harriet Beecher Stowe House
-84.527392	39.118461	Hauck House Museum
-84.691576	39.020367	Historic Boone County
-84.719095	38.981714	Holland Arabians; Paul & Angel DeVroomen
-84.847275	39.10215	Hollywood Casino
-84.442482	39.139664	Hyde Park Square
-84.444992	39.149235	J Alexander's Restaurant
-84.507147	39.107763	JACK Cincinnati Casino Formally Horseshoe Casino
-84.525311	39.055493	James A. Ramage Civil War Museum
-84.514664	39.099632	Jean-Robert At Pigall's
-84.512001	39.103947	Jeff Ruby's Steakhouse
-84.510101	39.093365	John A. Roebling Suspension Bridge
-84.524506	39.334152	Jungle Jim's International Market
-84.273633	39.093747	Jungle Jim's International Market
-84.918472	38.712547	Kentucky Speedway
-84.486488	39.095605	Kentucky Symphony Orchestra
-84.269424	39.345284	Kings Island
-84.488541	39.117741	Krohn Conservatory
-84.642473	39.012201	Laser Adventure with Pharaohs Golf & Games
-84.63554	39.036656	Lazer Kraze -- laser tag
-84.712334	38.860159	Liberty Hill Farm
-84.741186	39.038686	Little Britain Stables
-84.519312	39.105449	Lloyd Library & Museum
-84.522926	39.095551	Longworth Hall
-84.266228	39.283234	Loveland Castle Museum
-84.509851	39.082635	Madison Theater
-84.517563	39.084156	MainStrasse Village
-84.358253	39.144177	Mariemont Players Walton Creek Theater
-84.736532	38.92476	Meadowview Farm
-84.401034	39.195561	Meier's Wine Cellars
-84.429527	39.28841	Micro Center
-84.492811	39.090623	Monmouth Theatre Music; Comedy & Live Theater
-84.572639	39.043865	Montgomery Inn
-84.354347	39.227573	Montgomery Inn
-84.494759	39.104656	Montgomery Inn
-84.512624	39.084217	Mother of God Church
-84.49881	39.108418	Mt. Adams
-84.570953	39.19025	Mt. Airy Water Towers
-84.518402	39.109341	Music Hall
-84.505009	39.096577	National Steamboat Monument
-84.5112	39.09737	National Underground Railroad Freedom Center
-84.497902	39.093925	Newport Aquarium
-84.496201	39.09399	Newport On the Levee
-84.67839	38.844237	Northern Kentucky Horse Center
-84.444939	39.149204	PF Chang's China Bistro
-84.517662	39.096214	Paul Brown Stadium
-84.885727	39.14761	Perfect North Slopes
-84.497742	39.111034	Playhouse In The Park
-84.49772	39.098051	Purple People Bridge
-84.579078	39.373327	Pyramid Hill Sculpture Park
-84.845954	38.942183	Rabbit Hash General Store
-84.508178	39.048	Railway Museum of Greater Cincinnati
-84.496193	39.095771	Ride the Ducks
-84.413963	39.054508	River Downs Race Track
-84.418538	39.052518	Riverbend Music Center
-84.507871	39.091008	Riverside Drive Historic District & Riverwalk Statue Tour
-84.652748	38.85479	Robn Hill Farm; Judy and Jean-Yves Robin
-84.499947	39.10725	Rookwood Pottery Restaurant
-84.007221	38.774815	Rosemary Clooney House Museum
-84.501075	39.098869	Sawyer Point & Yeatmans Cove Park
-84.50321	39.096846	Showboat Majestic Cincinnati Landmark Productions
-84.520226	39.138374	Skirball Museum
-84.508003	39.100643	Skyline Chili
-84.62804	38.954418	Sports of All Sorts
-84.631446	39.009364	Sportsville Family Fun Center; Inc
-84.522994	39.164391	Spring Grove Cemetery & Arboretum
-84.527333	39.11745	Stained Glass Theatre
